,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,Erzin,36.96,36.2,80.01,83,11,3.15,TR,1600234392
129,Zyryanka,65.75,150.85,49.66,64,100,8.08,RU,1600234392
130,Kenai,60.55,-151.26,52.0,87,90,3.36,US,1600234392
131,Casablanca,33.59,-7.62,68.0,100,20,3.36,MA,1600234192
132,Stafford,52.81,-2.12,57.99,73,39,1.01,GB,1600234252
133,Sisimiut,66.94,-53.67,37.09,89,100,10.51,GL,1600234393
134,Nhulunbuy,-12.23,136.77,84.2,58,40,16.11,AU,1600234393
135,Yellowknife,62.46,-114.35,32.0,79,5,3.36,CA,1600234393
136,Nikolskoye,59.7,30.79,48.99,93,40,4.47,RU,1600234394
137,Mayor Pablo Lagerenza,-19.93,-60.77,70.14,64,29,3.98,PY,1600234394
138,Eureka,40.8,-124.16,66.2,93,90,3.36,US,1600234394
139,Khatanga,71.97,102.5,57.74,61,98,7.43,RU,1600234395
140,Forsytheganj,52.63,29.73,62.35,85,62,4.5,BY,1600234395
141,Emilio Carranza,19.97,-96.61,78.28,73,83,11.86,MX,1600234395
142,Touros,-5.2,-35.46,71.6,100,40,3.36,BR,1600234395
143,Terrace Bay,48.78,-87.1,49.62,85,82,4.7,CA,1600234396
144,Saldanha,-33.01,17.94,48.2,87,7,3.36,ZA,1600234396
145,Española,35.99,-106.08,62.6,27,1,9.17,US,1600234396
146,Tilichiki,60.47,166.1,47.44,72,79,8.37,RU,1600234397
147,Yangliuqing,39.14,117.0,75.2,23,1,13.42,CN,1600234397
148,Ampanihy,-24.7,44.75,70.93,71,28,6.49,MG,1600234397
149,Mar del Plata,-38.0,-57.56,48.99,81,12,6.93,AR,1600234112
150,São Filipe,14.9,-24.5,78.85,84,93,8.39,CV,1600234398
151,Coquimbo,-29.95,-71.34,51.8,81,1,2.24,CL,1600234398
152,Fortuna,40.6,-124.16,64.99,100,90,2.59,US,1600234103
153,Haines Junction,60.75,-137.51,42.62,62,97,3.69,CA,1600234398
154,Provideniya,64.38,-173.3,48.2,81,75,4.47,RU,1600234399
155,Verkhoyansk,67.54,133.38,53.73,51,21,6.2,RU,1600234399
156,Nybro,56.74,15.91,57.0,100,10,1.12,SE,1600234399
157,Umluj,25.02,37.27,94.15,40,0,4.36,SA,1600234399
158,Ixtapa,20.7,-105.2,82.4,88,75,2.24,MX,1600234400
159,Port Hedland,-20.32,118.57,96.8,32,50,13.87,AU,1600234400
160,Marawi,8.0,124.29,84.0,79,100,5.99,PH,1600234400
161,Butaritari,3.07,172.79,83.61,74,70,16.35,KI,1600234400
162,Ahipara,-35.17,173.17,57.16,81,2,7.07,NZ,1600234401
163,Natal,-5.79,-35.21,77.0,83,40,10.29,BR,1600234238
164,Russkiy Aktash,55.04,52.12,46.4,93,90,17.9,RU,1600234279
165,Geraldton,-28.77,114.6,71.6,49,44,23.04,AU,1600234401
166,Mirzāpur,25.15,82.58,89.6,70,99,3.36,IN,1600234401
167,Kayes,14.0,-11.0,76.21,88,10,5.08,ML,1600234402
168,Teknāf,20.86,92.31,88.2,70,47,8.43,BD,1600234402
169,Batemans Bay,-35.72,150.18,71.01,44,38,7.0,AU,1600234229
170,Sergiyevsk,53.94,51.16,47.68,82,86,19.01,RU,1600234402
171,Saint Anthony,45.02,-93.22,69.8,68,1,5.82,US,1600234403
172,Ozinki,51.18,49.68,54.9,56,0,18.99,RU,1600234403
173,Partyzany,46.33,34.75,71.38,56,0,9.71,UA,1600234403
174,Igrim,63.19,64.42,55.94,75,97,12.64,RU,1600234404
175,Laurel,39.1,-76.85,52.0,87,1,3.67,US,1600234141
176,Yulara,-25.24,130.99,91.4,10,0,13.87,AU,1600234404
177,Miandrivazo,-19.52,45.47,84.29,49,41,2.35,MG,1600234404
178,Kumul,42.8,93.45,77.27,18,100,7.4,CN,1600234404
179,Coahuayana Viejo,18.73,-103.68,77.85,86,100,2.44,MX,1600234405
180,Avinurme,58.98,26.86,55.99,98,77,4.0,EE,1600234405
181,Katherine,-14.47,132.27,95.0,15,96,8.05,AU,1600234406
182,Toribío,2.95,-76.27,69.8,73,75,6.93,CO,1600234406
183,Algiers,36.75,3.04,62.6,93,20,1.34,DZ,1600234406
184,Faya,18.39,42.45,73.4,42,40,5.84,SA,1600234406
185,Farah,32.5,62.5,78.19,16,0,4.18,AF,1600234407
186,Troitskiy,57.06,63.75,51.35,96,100,7.38,RU,1600234407
187,Tual,-5.67,132.75,79.93,82,88,16.15,ID,1600234132
188,Kavaratti,10.57,72.64,84.2,79,40,11.41,IN,1600234407
189,Marquette,46.53,-87.63,59.0,90,58,3.51,US,1600234377
190,São Paulo de Olivença,-3.38,-68.87,71.06,96,44,2.35,BR,1600234408
191,San Isidro,-12.12,-77.05,60.8,82,90,5.82,PE,1600234408
192,Severo-Kuril'sk,50.68,156.12,54.86,64,60,12.12,RU,1600234408
193,Kodinsk,58.69,99.18,63.09,45,53,7.56,RU,1600234409
194,Lebu,-37.62,-73.65,49.14,95,88,1.03,CL,1600234409
195,Bonavista,48.65,-53.11,49.82,69,43,11.79,CA,1600234410
196,Colinas,-6.03,-44.25,76.42,47,17,3.94,BR,1600234410
197,Santa Cruz de la Sierra,-17.8,-63.17,64.4,82,14,4.7,BO,1600234185
198,Laguna,38.42,-121.42,70.0,64,1,5.82,US,1600234411
199,Whitehorse,60.72,-135.05,53.6,40,90,12.75,CA,1600234185
200,George Town,5.41,100.34,87.8,62,40,5.82,MY,1600234411
201,Codrington,-38.27,141.97,59.9,72,67,8.3,AU,1600234411
202,Yumen,40.28,97.2,74.95,15,95,20.02,CN,1600234412
203,Sohag,26.56,31.69,80.6,51,0,6.93,EG,1600234412
204,Kidal,18.44,1.41,87.71,19,36,3.85,ML,1600234412
205,The Valley,18.22,-63.06,84.2,79,20,9.17,AI,1600234412
206,Wolgast,54.05,13.77,61.0,83,73,6.89,DE,1600234413
207,Artigas,-30.4,-56.47,52.61,96,55,5.3,UY,1600234413
208,Bambous Virieux,-20.34,57.76,72.0,49,75,14.99,MU,1600234413
209,Chapais,49.78,-74.85,42.8,93,90,11.41,CA,1600234413
210,Seoul,37.57,126.98,77.0,65,90,7.99,KR,1600234164
211,Fairbanks,64.84,-147.72,53.6,71,90,3.36,US,1600234203
212,Pevek,69.7,170.31,43.12,79,96,4.83,RU,1600234414
213,Phalodi,27.13,72.37,97.92,38,0,8.95,IN,1600234259
214,Phan Thiet,10.93,108.1,87.4,66,93,11.65,VN,1600234415
215,Lavrentiya,65.58,-171.0,44.51,92,98,10.11,RU,1600234415
216,Ponta do Sol,32.67,-17.1,73.4,69,40,5.82,PT,1600234415
217,Santa Rosa,14.31,121.11,88.0,70,75,6.93,PH,1600234262
218,Sept-Îles,50.2,-66.38,30.2,92,5,4.7,CA,1600234416
219,Skovorodino,53.98,123.92,64.89,42,99,4.16,RU,1600234416
220,Dauphin,51.15,-100.05,48.2,93,90,8.05,CA,1600234416
221,Chiredzi,-21.05,31.67,77.74,49,0,5.99,ZW,1600234416
222,Ulaanbaatar,47.91,106.88,50.0,46,20,8.95,MN,1600234394
223,Quatre Cocos,-20.21,57.76,72.0,49,75,14.99,MU,1600234417
224,Goose Creek,32.98,-80.03,73.0,73,90,11.41,US,1600234417
225,Fort Nelson,58.81,-122.7,46.4,65,20,3.36,CA,1600234202
226,Comodoro Rivadavia,-45.87,-67.5,41.0,41,1,6.93,AR,1600234148
227,Port Elizabeth,-33.92,25.57,53.6,93,20,5.82,ZA,1600234417
228,Srednekolymsk,67.45,153.68,43.32,78,98,8.34,RU,1600234418
229,Bluff,-46.6,168.33,51.01,87,100,10.0,NZ,1600234418
230,Sibolga,1.74,98.78,86.7,59,40,6.04,ID,1600234418
231,Los Llanos de Aridane,28.66,-17.92,77.0,78,99,10.29,ES,1600234418
232,Vardø,70.37,31.11,42.8,100,75,2.24,NO,1600234418
233,Kaitangata,-46.28,169.85,53.01,65,94,18.01,NZ,1600234419
234,Burnie,-41.07,145.92,55.99,60,100,10.0,AU,1600234419
235,Bertinoro,44.15,12.14,69.01,93,5,6.93,IT,1600234419
236,Tayshet,55.93,98.0,62.29,51,28,9.86,RU,1600234419
237,Belmonte,-15.86,-38.88,73.4,83,75,2.24,BR,1600234420
238,Inhambane,-23.86,35.38,71.6,88,40,2.24,MZ,1600234420
239,Sterling,39.01,-77.43,53.01,93,75,4.03,US,1600234420
240,Ribas do Rio Pardo,-20.44,-53.76,68.9,33,0,2.91,BR,1600234421
241,Vila Velha,-20.33,-40.29,72.0,88,75,6.93,BR,1600234421
242,Rosetta,31.4,30.42,78.8,78,40,4.7,EG,1600234421
243,Tanabe,33.73,135.37,77.0,83,75,8.05,JP,1600234422
244,Mazsalaca,57.86,25.05,60.01,92,85,4.0,LV,1600234422
245,Mashhad,36.3,59.61,73.4,38,0,11.41,IR,1600234414
246,Beloha,-25.17,45.05,74.17,63,35,5.46,MG,1600234422
247,Honiara,-9.43,159.95,84.2,79,75,14.99,SB,1600234423
248,Bhairab Bāzār,24.07,90.97,89.6,75,40,3.36,BD,1600234423
249,Cerveteri,41.99,12.09,70.0,77,88,4.7,IT,1600234423
250,Teahupoo,-17.83,-149.27,80.6,69,75,4.7,PF,1600234423
251,Mabaruma,8.2,-59.78,73.69,98,69,2.26,GY,1600234424
252,Harindānga,22.04,88.32,93.2,79,40,8.05,IN,1600234424
253,Río Gallegos,-51.62,-69.22,28.4,86,0,8.05,AR,1600234424
254,Mount Gambier,-37.83,140.77,68.0,42,67,11.41,AU,1600234425
255,Hualmay,-11.1,-77.61,59.4,86,82,8.72,PE,1600234425
256,Klaksvík,62.23,-6.59,41.0,100,2,2.77,FO,1600234425
257,Cockburn Town,21.46,-71.14,83.1,77,65,11.95,TC,1600234426
258,Rāmshīr,30.89,49.41,91.4,63,0,9.37,IR,1600234426
259,Batagay-Alyta,67.8,130.41,48.43,55,52,3.2,RU,1600234426
260,Grants,35.15,-107.85,51.8,32,1,4.7,US,1600234426
261,Kaseda-shirakame,31.42,130.32,75.2,100,75,5.82,JP,1600234427
262,Dabat,12.98,37.77,62.56,66,4,0.78,ET,1600234427
263,Emerald,-23.53,148.17,82.4,32,40,14.99,AU,1600234427
264,Saint Paul Harbor,57.79,-152.41,54.18,92,62,3.09,US,1600234427
265,Naliya,23.27,68.83,88.47,69,67,12.48,IN,1600234428
266,Noyabrsk,63.2,75.45,59.85,58,18,19.42,RU,1600234428
267,Río Cuarto,-33.13,-64.35,49.82,53,0,7.45,AR,1600234218
268,Necochea,-38.55,-58.74,46.0,79,80,1.99,AR,1600234429
269,Denpasar,-8.65,115.22,86.0,62,40,12.75,ID,1600234429
270,Pitimbu,-7.47,-34.81,73.4,94,75,5.82,BR,1600234429
271,Mfou,3.72,11.64,69.8,100,75,4.0,CM,1600234430
272,Canguçu,-31.39,-52.68,54.0,90,100,1.5,BR,1600234430
273,Waupun,43.63,-88.73,66.2,93,1,5.82,US,1600234361
274,Nemuro,43.32,145.57,71.6,73,40,11.41,JP,1600234430
275,Vytegra,61.01,36.45,50.02,82,56,2.17,RU,1600234430
276,Benguela,-12.58,13.41,69.69,83,16,2.35,AO,1600234431
277,Port-Cartier,50.03,-66.87,30.2,92,5,4.7,CA,1600234431
278,Yucaipa,34.03,-117.04,80.6,32,1,2.1,US,1600234294
279,Marsá Maţrūḩ,31.35,27.25,75.2,78,40,9.98,EG,1600234431
280,Half Moon Bay,37.46,-122.43,64.4,93,90,6.93,US,1600234432
281,Santarém,-2.44,-54.71,75.2,100,88,4.18,BR,1600234432
282,Sola,-13.88,167.55,79.52,78,86,28.3,VU,1600234433
283,Oistins,13.07,-59.53,82.4,78,20,13.87,BB,1600234433
284,Upington,-28.45,21.26,35.6,69,0,3.36,ZA,1600234433
285,Santiago de Cao,-7.96,-79.24,59.54,90,86,10.29,PE,1600234433
286,Deputatsky,69.3,139.9,43.75,67,93,3.04,RU,1600234434
287,Humaitá,-7.51,-63.02,75.56,46,85,2.35,BR,1600234434
288,Chui,-33.7,-53.46,51.17,92,85,1.28,UY,1600234434
289,Sjenica,43.27,20.0,61.29,68,51,3.58,RS,1600234434
290,Yertsevo,60.8,40.09,44.35,89,93,3.94,RU,1600234434
291,Mumford,5.26,-0.76,74.79,91,100,9.98,GH,1600234435
292,Eura,61.13,22.13,53.6,100,90,8.05,FI,1600234435
293,Rafina,38.02,24.01,75.0,60,20,8.05,GR,1600234272
294,Tezu,27.92,96.17,75.97,86,99,3.67,IN,1600234435
295,Timrå,62.49,17.33,54.0,93,90,4.7,SE,1600234435
296,Mehamn,71.04,27.85,44.6,87,75,6.93,NO,1600234436
297,Soto la Marina,23.77,-98.22,75.0,97,73,3.0,MX,1600234436
298,Ploemeur,47.73,-3.43,59.0,93,24,4.7,FR,1600234206
299,Koshurnikovo,54.17,93.3,63.79,49,55,3.04,RU,1600234436
300,Cherskiy,68.75,161.3,42.57,84,100,2.1,RU,1600234437
301,Abrau-Dyurso,44.69,37.59,69.8,77,0,6.71,RU,1600234437
302,Balkanabat,39.51,54.37,77.38,34,6,11.5,TM,1600234437
303,Padang,-0.95,100.35,87.1,59,90,8.12,ID,1600234438
304,Santa Cruz del Sur,20.71,-78.0,77.7,90,95,10.8,CU,1600234438
305,Tombouctou,20.0,-3.0,93.92,15,73,14.34,ML,1600234439
306,San Matías,-16.37,-58.4,76.69,39,1,3.36,BO,1600234439
307,Kotka,60.47,26.95,54.0,100,40,9.17,FI,1600234439
308,Katsuura,35.13,140.3,82.99,74,75,3.36,JP,1600234440
309,Mayo,38.89,-76.51,64.0,93,1,5.84,US,1600234441
310,Adrar,20.5,-10.07,91.13,26,1,7.94,MR,1600234441
311,Esperance,-33.87,121.9,57.2,82,75,19.46,AU,1600234441
312,Formosa do Rio Preto,-11.05,-45.19,66.31,59,48,4.56,BR,1600234441
313,Tacuarembó,-31.73,-55.98,47.35,93,27,1.83,UY,1600234441
314,Vao,-22.67,167.48,67.48,78,20,22.03,NC,1600234442
315,Polyarny,69.2,33.45,42.8,93,40,4.47,RU,1600234442
316,Octeville,49.63,-1.64,66.0,93,62,3.36,FR,1600234443
317,Bilma,18.69,12.92,87.6,34,0,2.01,NE,1600234443
318,Sioux Lookout,50.1,-91.92,53.6,81,90,4.7,CA,1600234443
319,Sabha,27.04,14.43,73.96,57,0,14.81,LY,1600234443
320,Torbay,47.67,-52.73,48.0,75,75,9.17,CA,1600234444
321,Bétérou,9.2,2.26,72.16,95,88,0.87,BJ,1600234444
322,Mikhaylovka,50.06,43.24,59.0,60,9,8.01,RU,1600234444
323,Mahabalipuram,12.63,80.17,87.8,62,40,11.41,IN,1600234444
324,Kirovskiy,45.09,133.51,70.16,70,100,2.15,RU,1600234445
325,Henties Bay,-22.12,14.28,50.0,94,9,4.0,NA,1600234445
326,North Bend,43.41,-124.22,64.4,88,1,2.37,US,1600234445
327,Belaya Glina,46.07,40.86,72.16,40,0,7.65,RU,1600234446
328,Marsassoum,12.83,-15.98,75.25,96,96,2.28,SN,1600234446
329,Kilimatinde,-5.85,34.95,71.47,59,32,7.56,TZ,1600234447
330,Zhengjiatun,43.51,123.51,65.62,56,0,21.88,CN,1600234447
331,Gamba,-2.65,10.0,74.84,87,90,5.35,GA,1600234447
332,Kieta,-6.22,155.63,83.32,71,100,2.42,PG,1600234448
333,Sakaiminato,35.55,133.23,82.4,61,75,5.82,JP,1600234420
334,Mahébourg,-20.41,57.7,71.6,49,75,14.99,MU,1600234448
335,Aykhal,66.0,111.5,57.2,47,40,2.24,RU,1600234449
336,Boden,65.83,21.69,46.4,93,90,1.12,SE,1600234265
337,Pangkalanbuun,-2.68,111.62,91.99,44,50,6.6,ID,1600234449
338,Cortez,37.35,-108.59,55.0,62,1,3.36,US,1600234449
339,Alta Floresta,-9.88,-56.09,69.8,68,16,3.11,BR,1600234450
340,Dembī Dolo,8.53,34.8,61.23,100,100,2.24,ET,1600234450
341,Maraã,-1.83,-65.37,73.8,95,100,2.84,BR,1600234450
342,Novyy Svit,47.81,38.02,68.05,59,0,8.43,UA,1600234451
343,Halmeu,47.97,23.02,64.0,87,85,4.29,RO,1600234451
344,San Pablo City,14.07,121.33,88.0,70,75,6.93,PH,1600234451
345,Port Hardy,50.7,-127.42,59.0,87,75,6.4,CA,1600234201
346,Iskateley,67.68,53.15,47.14,74,62,13.62,RU,1600234452
347,Tamale,9.4,-0.84,73.09,97,94,8.9,GH,1600234452
348,Tagusao,9.19,117.81,78.62,89,100,17.52,PH,1600234452
349,Arman',59.7,150.17,52.39,67,94,5.75,RU,1600234453
350,Norman Wells,65.28,-126.83,30.2,92,40,2.24,CA,1600234453
351,Lompoc,34.64,-120.46,55.4,100,90,4.7,US,1600234453
352,Olinda,-8.01,-34.86,77.0,78,40,12.75,BR,1600234425
353,Mauá,-23.67,-46.46,63.0,82,96,5.82,BR,1600234454
354,Edd,13.93,41.69,93.87,45,16,5.48,ER,1600234454
355,Bud,39.45,-86.18,54.0,100,1,3.51,US,1600234454
356,Anzio,41.49,12.62,71.01,65,68,1.99,IT,1600234455
357,Hare Bay,48.85,-54.01,41.0,86,5,6.93,CA,1600234455
358,Acapulco de Juárez,16.86,-99.89,79.16,78,81,4.36,MX,1600234455
359,Najrān,17.49,44.13,80.6,22,40,6.02,SA,1600234455
360,Meulaboh,4.14,96.13,85.77,67,84,7.34,ID,1600234456
361,Margate,51.38,1.39,66.0,97,92,3.0,GB,1600234456
362,Rebrikha,53.07,82.34,71.02,38,99,16.31,RU,1600234456
363,Waipawa,-41.41,175.52,59.0,51,0,17.22,NZ,1600234457
364,Wenling,28.37,121.36,89.01,82,90,5.53,CN,1600234457
365,Luanda,-8.84,13.23,69.8,88,20,4.7,AO,1600234457
366,San Quintín,30.48,-115.95,76.78,52,0,7.25,MX,1600234458
367,Giyani,-23.3,30.72,67.93,77,92,5.88,ZA,1600234458
368,Bachaquero,9.97,-71.15,81.34,81,84,6.49,VE,1600234458
